supplier,spend,cum_pct,tail
3b industries,40888832.7,0.08040563068276503,False
prison industry authority,39988372.22,0.15904055557574837,False
motorola solutions,26619404.349999998,0.21138614369426875,False
pia,22715267.32,0.25605446201953613,False
western blue an nwn,18062947.2,0.2915742498369439,False
pinnacle petroleum,12045379.23,0.31526082266985406,False
mcginty sales,9818108.48,0.3345675906140072,False
unknown,9699230.34,0.35364059126303554,False
grainger industrial supply,9516163.37,0.3723536008287275,False
cisco systems,9053259.07,0.3901563346606916,False
san joaquin distributors,7105296.4,0.40412850751340257,False
food service systems,6735299.2700000005,0.41737310144972,False
secure detention products,6545292.99,0.43024405853293435,False
abc ventures,6379917.35,0.44278981355593516,False
christian bartels enterprises dba cb enterprises,6379108.7,0.4553339784133832,False
cirrus environmental,6295038.71,0.46771282427977473,False
mckesson medical surgical minnesota su,5976750.53,0.4794657740233902,False
adolph,5843888.42,0.4909574577673922,False
american textile systems,5362630.26,0.5015027739258987,False
pereira sales,4757453.51,0.5108580434373093,False
relay application innovation,4700000.0,0.5201003337952094,False
seafood dimensions intn l,4481815.62,0.5289135766229991,False
kd foods,4464253.4,0.5376922843153484,False
us foodservice,4213414.21,0.5459777305976722,False
seacat enterprises,3982072.56,0.5538082563052777,False
compucom systems,3592065.34,0.5608718543599222,False
ctb mcgraw hill,3479126.21,0.5677133638545179,False
wondries fleet group,3455936.43,0.5745092719278166,False
kvichak marine industries,3443455.87,0.581280637669339,False
safariland,3401581.5,0.5879696597755222,False
hdr distributing,3267477.2,0.5943949731840792,False
cellblock supply,3263005.03,0.6008114923173873,False
ferrellgas,3047250.24,0.6068037415751023,False
western blue,3002537.37,0.6127080654440353,False
downtown ford sales,2912218.75,0.6184347827362099,False
winner chevrolet,2784870.5,0.6239110767298589,False
tagg industries,2768476.64,0.6293551331034638,False
open door counseling,2720670.0,0.634705180360491,False
superior produce,2640325.61,0.6398972348130484,False
elk grove auto group,2516458.4,0.644845711239937,False
airco systems,2451473.0,0.6496663974677139,False
motor coach industries,2426967.5,0.6544388949834984,False
us control group,2422849.42,0.6592032945224578,False
ablegov,2266346.57,0.6636599398525793,False
creative bus sales,2229917.04,0.6680449485244323,False
enterprise networking solutions,2226355.41,0.6724229534476454,False
taborda solutions,2156878.0100000002,0.6766643349018985,False
falcon fuels,2152700.91,0.6808975023197571,False
forderer cornice works,2129137.06,0.6850843327283285,False
succor international,2033975.06,0.6890840323209343,False
technology integration group,1994631.9,0.6930063657628341,False
new readers press,1979143.28,0.6968982416891419,False
mcgraw hill school education,1911139.8599999999,0.7006563926467326,False
earthgrains baking,1902557.41,0.7043976666905187,False
unident unimed usa,1862412.48,0.7080599979471861,False
statestore,1832564.53,0.7116636348590687,False
smile business products,1818210.94,0.7152390462291517,False
elite supply source,1818145.07,0.7188143280695186,False
intersect usa,1758850.52,0.7222730104529193,False
touch legal dba touch sonic technologies,1744839.0,0.7257041399562784,False
silver foods express distribution,1663531.21,0.7289753821822887,False
kovarus technology solutions,1619140.96,0.7321593334339246,False
mythics,1615615.2000000002,0.7353363514732941,False
advanced technologies consultants,1589893.63,0.7384627894661953,False
california veteran supply,1576104.65,0.741562112191671,False
bay medical,1538177.22,0.7445868527212769,False
all gen electric service,1526131.38,0.7475879057719711,False
blue eagle enterprises,1465043.48,0.7504688328419942,False
midtown stationers,1414886.97,0.7532511299058984,False
cobalt industrial supply,1401227.14,0.7560065656687174,False
fastenal,1390488.09,0.7587408836829688,False
msc industrial supply,1371438.57,0.7614377418684929,False
elements food group,1354738.76,0.7641017608001995,False
lc action police supply,1353788.53,0.7667639111571046,False
ferrellgas l p,1350923.95,0.7694204284756879,False
french fry xpress,1347622.18,0.7720704530459658,False
aaa wholesale,1340970.55,0.7747073975533048,False
brooks,1283971.31,0.7772322562039926,False
pro pacific fresh,1226751.05,0.7796445943744095,False
mcwhirter building,1212406.0,0.7820287237964647,False
folsom lake ford,1158151.5,0.7843061647414514,False
voyager fleet systems,1147118.43,0.786561909763783,False
ram enterprises,1122508.6,0.7887692609149405,False
pearson education,1122257.41,0.7909761181148394,False
e poly star,1115640.33,0.7931699631924657,False
primary source,1100253.02,0.795333549975018,False
gcs supplies,1000461.05,0.7973009013613732,False
en pointe technologies sales,946232.66,0.7991616156145325,False
livermore scientific,920927.4,0.8009725684718401,True
morphotrust usa,920784.0,0.8027832393409695,True
greater sacramento pharmacy,847405.34,0.8044496151288663,True
rhodes consolidated,834432.46,0.8060904804649038,True
hf enterprises,831293.26,0.8077251727375603,True
clipper commodities,786912.93,0.8092725935429743,True
riverview international trucks,783191.49,0.8108126963422119,True
international restaurant equipment,750726.36,0.8122889582567755,True
california department corrections rehabilitation cdcr,749200.0,0.8137622186687199,True
mac s distributing,742360.92,0.8152220304076556,True
factory direct distribution,732986.6,0.8166634080641769,True
aztec software,724054.5,0.8180872212394842,True
david morris enterprises,710000.0,0.8194833970169542,True
torrences farm implements,706261.4,0.8208722210440557,True
tdm supply,706017.83,0.8222605661042076,True
g p group,702863.09,0.8236427075424269,True
golden state provisions,697098.77,0.8250135137638045,True
family builders by adoption,681506.08,0.8263536578216841,True
ncs pearson,673007.49,0.8276770898718163,True
regents university california davis,671570.0,0.8289976951772748,True
fresno produce,663982.29,0.8303033796701862,True
express office products,661899.12,0.8316049677243731,True
morning glory,659188.52,0.8329012255334017,True
logans marketing,655380.1,0.8341899942948888,True
dynamic systems,648808.48,0.8354658403286821,True
delta wireless,648685.77,0.836741445060039,True
j l hackler construction,646783.17,0.8380133084336013,True
system solutions dvbe,643288.11,0.8392782989647514,True
florance distributing,642595.3,0.8405419271233092,True
henry schein,640910.22,0.841802241665136,True
cloverleaf distribution,635196.18,0.8430513198629634,True
5 cities supply,616944.09,0.844264506334106,True
edward isaacson enterprises,607399.2,0.845458923306352,True
nathan cleaver dvbe services,598497.35,0.8466358352823379,True
directgov source,586911.73,0.8477899647766183,True
paul aiello sales,578948.54,0.8489284350976741,True
nbc supply,575450.6,0.8500600269129567,True
c s industrial supply,574483.01,0.8511897160159567,True
jps communications,574121.91,0.8523186950357551,True
hunt sons,567653.85,0.8534349549728785,True
alpha wholesale produce,552455.42,0.8545213280370137,True
supply station,549798.62,0.8556024766507186,True
trico welding supplies,542384.89,0.8566690465739351,True
highland wholesale foods,541322.88,0.8577335281131552,True
walgreens specialty pharmacy,539195.88,0.8587938270243772,True
empire safety supply,532842.55,0.8598416324631313,True
gordon industrial supply,527432.22,0.8608787987868232,True
airgas usa,521855.49,0.8619049987790454,True
rockwell medical supply,521266.51,0.8629300405746345,True
arrow vending,515880.28,0.8639444906464802,True
d j international,511328.08,0.864949989068503,True
knoll enterprises,510418.72,0.8659536992843218,True
advanced technologies group,494957.83999999997,0.8669270065337257,True
work boot warehouse,494705.65,0.8678998178654265,True
rising eagle partners,488015.05000000005,0.868859472501836,True
emc,479494.67,0.869802372281667,True
merritt business supplies,475978.12,0.8707383569601878,True
mendoza distributing,473550.89,0.8716695686250009,True
traut line industrial,461475.19,0.8725770340928619,True
toyota material handling northern california,456775.25,0.8734752573883519,True
granite data solutions,445623.47000000003,0.8743515513245296,True
sika sarnafil,443210.5,0.8752231002885019,True
robertson s ready mix,442646.78,0.8760935407282358,True
all business machines,441488.20999999996,0.8769617029040675,True
mro warehouse,430400.75,0.8778080622023139,True
global blue dvbe,427108.16000000003,0.8786479468042179,True
ace uniforms,427006.01,0.8794876305337899,True
ysi,421113.37,0.8803157267123289,True
dow associates,414017.5,0.8811298692545102,True
chickasaw supply,413644.08,0.8819432774868903,True
clark equipment supplies,412489.8,0.8827544158914162,True
hec software dba reading horizons,411567.77,0.8835637411748829,True
western plumbing parts specialties,405532.06,0.8843611975680653,True
mountain materials,404035.0,0.8851557100754598,True
ray i juachon associates,401825.75,0.8859458782147749,True
gartner,400755.0,0.8867339407833664,True
hi tech emergency vehicle service,399010.5,0.8875185728890793,True
planit big,392016.69,0.8882894520537864,True
verizon business services,383111.52,0.8890428196936366,True
north valley distributing,382699.92,0.889795377944825,True
gerlinger steel supply,360083.74,0.890503462727429,True
stay safe supply,356283.81,0.8912040751576075,True
toms house hydraulics,350104.0,0.8918925353328121,True
south valley materials,346806.48,0.8925745111171018,True
semper fuel,346384.0,0.8932556561178104,True
electric parts center,340620.25,0.893925467022551,True
z bus sales,336064.0,0.8945863183133674,True
churchfield trading,336063.6,0.895247168817606,True
valley construction supply,329164.38,0.8958944523868482,True
steelhead metal fab,328003.54000000004,0.8965394532283587,True
veteran logistics,321935.25,0.8971725211128146,True
lalanne,316419.18,0.8977947419503399,True
r j wholesale,313183.49,0.8984105999822294,True
rose shore meat,306255.15,0.8990128338162511,True
mendoza interiors supply,305392.02,0.8996133703528097,True
selway machine tool,304778.5,0.9002127004361811,True
accugov,304706.54,0.9008118890141876,True
precision for collision,301011.48,0.9014038114608305,True
aluma tower,296276.0,0.9019864218476554,True
elsevier,294165.0,0.9025648810695983,True
cole office products,292365.68,0.9031398020281611,True
pc specialist dba tig technology integration group,289606.53,0.9037092972706725,True
patriot it,289127.0,0.9042778495439296,True
napa auto parts,286962.82,0.9048421460767726,True
california surveying drafting,286517.45,0.9054055668141141,True
collier hardware,285304.85,0.9059666030405433,True
michael brown sales,274354.0,0.9065061050254053,True
san diego police equipment,264848.94,0.9070269158348653,True
american chiller service,258883.28999999998,0.9075359955231607,True
moten food group,256687.12,0.9080407565644741,True
contessa state supply,251906.18,0.9085361161513911,True
anchor supply,251409.88999999998,0.9090304998114395,True
office city,248339.55000000002,0.9095188458174928,True
craig brown,248153.0,0.9100068249832766,True
majestic intl spice,246216.75,0.9104909966203997,True
allen packaging,242757.0,0.9109683648502747,True
buona fortuna foods,241324.8,0.9114429167379687,True
journey air conditioning,240478.01,0.9119158034599071,True
miwall,239363.0,0.9123864975762769,True
mckesson technologies,237791.1,0.9128541006381331,True
james e maloney,237770.61,0.9133216634075364,True
morgan nels industrial supply,236185.94,0.9137861100109265,True
dvbe partners,234975.0,0.9142481753677025,True
hibser yamauchi architects,232557.0,0.9147054858610562,True
bentley government,232497.38999999998,0.9151626791346379,True
mid valley pipe steel dba prw steel supply,228050.68,0.9156111281986542,True
marvell foods,225936.32,0.916055419490534,True
smiths detection,223410.0,0.9164947429136954,True
fat cat services,221784.0,0.9169308688976818,True
qsi consulting,220279.73,0.9173640368178138,True
traut line ind,219006.81,0.9177947016110856,True
air filter supply,215934.93999999997,0.9182193257417017,True
fresh foods california,213450.0,0.9186390633750834,True
west coast industrial supply,209855.84,0.9190517332913771,True
kar wing trading,208465.36,0.9194616689055652,True
performance foodservice northern ca,204970.41,0.9198647318936499,True
kustom kitchens,204058.31,0.9202660012874717,True
silverado avionics,203644.86,0.9206664576547088,True
gold country cabinets millwork,202646.0,0.9210649498189358,True
north river boats,202184.25,0.9214625339772963,True
big r metals,201629.96,0.9218590281549923,True
angus hamer,199727.5,0.922251781250196,True
mj industrial supplies,198096.14,0.922641326366081,True
alpha fire sprinkler,197423.0,0.9230295477893422,True
hewlett packard,196610.0,0.9234161704930159,True
m j industrial supplies,195992.08000000002,0.9238015780911455,True
rdm industrial products,193055.66,0.9241812113815616,True
harvest farms,188166.6,0.9245512306055742,True
teraband technologies,186459.27000000002,0.9249178924594598,True
american commodities awob,184737.18,0.9252811679184937,True
ocean marine industries,182105.0,0.9256392673409672,True
amirix systems,181587.24,0.9259963486170033,True
granite electrical supply,178999.52000000002,0.9263483412846129,True
sundance corporate supply,176651.95,0.9266957175855041,True
nalco,176378.49,0.9270425561424122,True
embroidme,176000.0,0.9273886504196442,True
morning glory gold mines,173651.32,0.9277301261474044,True
hd supply construction supply dba hd supply white cap construction supply,172815.48,0.9280699582419788,True
cal best industrial supply,170074.91,0.9284044011570456,True
avenal lumber hardware,168906.73,0.9287365469106761,True
uptodate,168389.0,0.9290676745768626,True
hi line electric,167023.34,0.9293961167481022,True
performance food group,165788.46,0.9297221305960403,True
imtech communications,165637.68,0.9300478479434379,True
j m enterprise,164451.95,0.9303712336182938,True
glacier laboratories,163332.2,0.9306924173666331,True
livingston s concrete service,162172.5,0.9310113206289876,True
nitv federal services,161820.0,0.9313295307195654,True
american textile supply,161674.75,0.9316474551840421,True
california diamond products,161175.35,0.9319643976060074,True
proforce law enforcement,159876.77,0.9322787864421399,True
