category,spend,suppliers,lines,avg_per_supplier,suppliers_per_$1m
Meat And Poultry Products,25817950.89,50,1020,516359.01780000003,1.9366370403689306
Dairy Products And Eggs,24924393.04,32,718,778887.2825,1.2838828190778684
Bread And Bakery Products,23974951.01,34,890,705145.6179411765,1.4181467977064282
Computer Equipment And Accessories,22796404.73,75,696,303952.06306666665,3.289992474177309
Prepared And Preserved Foods,21048377.79,47,1168,447837.8253191489,2.232951178894628
Communications Devices And Accessories,19995860.23,38,135,526206.8481578948,1.9003933595709075
Motor Vehicles,18139655.22,29,266,625505.3524137931,1.5987073430164127
Computer Services,17467768.13,98,479,178242.5319387755,5.610333230362155
Fuels,15420867.97,9,5906,1713429.7744444446,0.5836247361373395
Clothing,14984129.95,38,407,394319.2092105263,2.5360164471878464
Software,14649612.370000001,79,270,185438.1312658228,5.392634153363608
Consumer Electronics,10476279.01,49,151,213801.61244897958,4.677233200187555
Paper Products,9458924.34,89,867,106280.04876404494,9.409103699417052
Fresh Fruits,9402192.77,27,553,348229.36185185186,2.8716705411688768
Printed Media,9325795.23,65,286,143473.77276923077,6.969914993512033
Fresh Vegetables,8127827.87,35,496,232223.65342857144,4.306193556237307
Data Voice Or Multimedia Network Equipment Or Platforms And Accessories,7991288.76,47,159,170027.42042553192,5.881404290538989
Accommodation Furniture,5404059.6,47,487,114979.9914893617,8.697165368050346
Beverages,5391506.95,24,353,224646.12291666667,4.451445620412304
Public Administration And Finance Services,5365638.14,44,95,121946.32136363635,8.200329364737966
Light Weapons And Ammunition,5080103.97,20,214,254005.1985,3.936927298753691
Professional Engineering Services,5031184.41,8,22,628898.05125,1.5900828409507655
Containers And Storage,5018023.82,63,328,79651.17174603174,12.554743113993426
Heating And Ventilation And Air Circulation,4973534.18,73,212,68130.60520547944,14.677691427869107
Cleaning And Janitorial Supplies,4715443.31,54,295,87323.02425925925,11.45173347445036
Gaseous Fuels And Additives,4662691.21,13,90,358668.5546153846,2.7880894132811336
Medical Apparel And Textiles,4388843.07,38,545,115495.8702631579,8.658318238751699
Personal Safety And Protection,4178814.9,99,621,42210.25151515151,23.690927300943624
Measuring And Observing And Testing Instruments,4005357.94,124,560,32301.273709677418,30.958531511418432
Electrical Equipment And Components And Supplies,3998870.08,104,525,38450.67384615385,26.007346555254927
Concrete And Cement And Plaster,3963299.02,38,83,104297.34263157895,9.587971992080476
Law Enforcement,3853831.1,16,511,240864.44375,4.151712824155682
Marine Transport,3820966.21,12,28,318413.85083333333,3.1405668986536264
Laboratory And Scientific Equipment,3750021.55,55,176,68182.20999999999,14.666582382706576
Office Machines And Their Supplies And Accessories,3615067.16,92,1044,39294.208260869564,25.449043109893427
Bedclothes And Table And Kitchen Linen And Towels,3611389.88,26,251,138899.61076923076,7.199444220627877
Institutional Food Services Equipment,3468902.2,58,306,59808.65862068966,16.71998708986376
Doors And Windows And Glass,3449509.21,38,115,90776.55815789473,11.016059875949715
Welding And Soldering And Brazing Machinery And Accessories And Supplies,3289585.53,28,63,117485.1975,8.511710592306747
Public Order And Safety,3274835.71,6,10,545805.9516666667,1.8321529784466652
Structural Components And Basic Shapes,3198084.83,42,114,76144.87690476191,13.132859893525714
Plumbing Fixtures,3196471.13,48,143,66593.14854166667,15.016559839850641
Frozen Vegetables,3161750.76,6,167,526958.46,1.8976827888862435
Patient Care And Treatment Products And Supplies,2994921.89,53,708,56507.960188679244,17.696621797371815
Footwear,2980415.5,29,138,102772.94827586207,9.730186948766036
Fluid And Gas Distribution,2964866.56,72,291,41178.70222222222,24.284398148427968
Components For Information Technology Or Broadcasting Or Telecommunications,2740076.8,58,205,47242.70344827586,21.167289909538304
Seasonings And Preservatives,2723294.22,24,406,113470.59250000001,8.812856071056473
Hand Tools,2526617.59,92,453,27463.23467391304,36.4123167526907
Material Handling Machinery And Equipment,2346233.36,81,235,28965.843950617284,34.523420125609334
