Acquisition Method,sum,size
Formal Competitive,1345067125.04,1509
Services are specifically exempt by statute,433853692.16,559
Statement of Qualifications,306646931.25,96
Services are specifically exempt by policy,209738598.70000002,874
Informal Competitive,149609921.92,10367
Statewide Contract,139250832.57,7859
Fair and Reasonable,135758829.45,4102
NCB,128663856.64,123
State Programs,67439936.49,8150
WSCA/Coop,46798959.36,1324
SB/DVBE Option,39554788.15,2457
Master Service Agreement,33216690.68,119
Software License Program,23407275.06,100
CMAS,17366340.06,98
Emergency Purchase,6535685.0,36
Master Purchase/Price Agreement,4595858.34,198
Special Category Request (SCR),954173.2999999999,120
LCB,902027.87,50
State Price Schedule,5284.82,1
