category,spend,suppliers,lines,avg_per_supplier,suppliers_per_$1m,top_supplier_share,spend_score,risk_score,quadrant,strategy
Meat And Poultry Products,25817950.89,50,1020,516359.01780000003,1.9366370403689306,0.2521160578441242,1.0,0.09659697682405038,Leverage,"Negotiate - tender, consolidate volume"
Dairy Products And Eggs,24924393.04,32,718,778887.2825,1.2838828190778684,0.3374813599874126,0.9653900553995515,0.1557061937860099,Strategic,"Partner - dual-source, joint planning"
Bread And Bakery Products,23974951.01,34,890,705145.6179411765,1.4181467977064282,0.2929163778925277,0.9286155633399301,0.12894918439440436,Leverage,"Negotiate - tender, consolidate volume"
Computer Equipment And Accessories,22796404.73,75,696,303952.06306666665,3.289992474177309,0.7318260755409915,0.8829672357471898,0.3577293409473694,Strategic,"Partner - dual-source, joint planning"
Prepared And Preserved Foods,21048377.79,47,1168,447837.8253191489,2.232951178894628,0.2592338437878257,0.8152613613558546,0.10186963952582846,Leverage,"Negotiate - tender, consolidate volume"
Communications Devices And Accessories,19995860.23,38,135,526206.8481578948,1.9003933595709075,0.9636595629474453,0.7744944715091601,0.500398927291323,Strategic,"Partner - dual-source, joint planning"
Motor Vehicles,18139655.22,29,266,625505.3524137931,1.5987073430164127,0.18183395053525173,0.7025985639714725,0.07206602548610834,Leverage,"Negotiate - tender, consolidate volume"
Computer Services,17467768.13,98,479,178242.5319387755,5.610333230362155,0.2527591428476329,0.6765745354626785,0.08699961958934578,Leverage,"Negotiate - tender, consolidate volume"
Fuels,15420867.97,9,5906,1713429.7744444446,0.5836247361373395,0.7206258247991472,0.5972924821068168,0.45085491992061943,Strategic,"Partner - dual-source, joint planning"
Clothing,14984129.95,38,407,394319.2092105263,2.5360164471878464,0.3791584175362815,0.5803764215774291,0.17396688635310406,Strategic,"Partner - dual-source, joint planning"
Software,14649612.370000001,79,270,185438.1312658228,5.392634153363608,0.2190727869750454,0.5674196388557775,0.07068085082641495,Leverage,"Negotiate - tender, consolidate volume"
Consumer Electronics,10476279.01,49,151,213801.61244897958,4.677233200187555,0.7016043017739368,0.405774999520111,0.34804190367811644,Strategic,"Partner - dual-source, joint planning"
Paper Products,9458924.34,89,867,106280.04876404494,9.409103699417052,0.27088285918142785,0.3663700647778248,0.09817013714418431,Leverage,"Negotiate - tender, consolidate volume"
Fresh Fruits,9402192.77,27,553,348229.36185185186,2.8716705411688768,0.22581924258930078,0.3641726955814191,0.09922707127374235,Leverage,"Negotiate - tender, consolidate volume"
Printed Media,9325795.23,65,286,143473.77276923077,6.969914993512033,0.3693058731249882,0.36121360946627784,0.15735406638452998,Strategic,"Partner - dual-source, joint planning"
Fresh Vegetables,8127827.87,35,496,232223.65342857144,4.306193556237307,0.3416987458913792,0.3148130502156982,0.1553390358901486,Strategic,"Partner - dual-source, joint planning"
Data Voice Or Multimedia Network Equipment Or Platforms And Accessories,7991288.76,47,159,170027.42042553192,5.881404290538989,0.7286127100230076,0.30952451625799804,0.3640082212571539,Strategic,"Partner - dual-source, joint planning"
Accommodation Furniture,5404059.6,47,487,114979.9914893617,8.697165368050346,0.5197035928323219,0.20931403979442612,0.24733671422839348,Strategic,"Partner - dual-source, joint planning"
Beverages,5391506.95,24,353,224646.12291666667,4.451445620412304,0.30217574327711844,0.20882784125553042,0.1465761542271474,Leverage,"Negotiate - tender, consolidate volume"
Public Administration And Finance Services,5365638.14,44,95,121946.32136363635,8.200329364737966,0.17277024574005284,0.20782587134280506,0.05505593134116818,Leverage,"Negotiate - tender, consolidate volume"
Light Weapons And Ammunition,5080103.97,20,214,254005.1985,3.936927298753691,0.2978876985464532,0.1967663503445451,0.15265131350857575,Strategic,"Partner - dual-source, joint planning"
Professional Engineering Services,5031184.41,8,22,628898.05125,1.5900828409507655,0.9341736690585746,0.1948715617066541,0.5842336375461379,Strategic,"Partner - dual-source, joint planning"
Containers And Storage,5018023.82,63,328,79651.17174603174,12.554743113993426,0.293951773230124,0.19436181598531194,0.11576673619425881,Leverage,"Negotiate - tender, consolidate volume"
Heating And Ventilation And Air Circulation,4973534.18,73,212,68130.60520547944,14.677691427869107,0.33379563503874415,0.19263861029057833,0.13580869391616945,Leverage,"Negotiate - tender, consolidate volume"
Cleaning And Janitorial Supplies,4715443.31,54,295,87323.02425925925,11.45173347445036,0.47413209172903825,0.18264204351811747,0.21908266306826946,Strategic,"Partner - dual-source, joint planning"
Gaseous Fuels And Additives,4662691.21,13,90,358668.5546153846,2.7880894132811336,0.6534359885264629,0.18059881010177256,0.37858226471361645,Strategic,"Partner - dual-source, joint planning"
Medical Apparel And Textiles,4388843.07,38,545,115495.8702631579,8.658318238751699,0.27731729765402624,0.16999192107456984,0.11709068538139687,Leverage,"Negotiate - tender, consolidate volume"
Personal Safety And Protection,4178814.9,99,621,42210.25151515151,23.690927300943624,0.117328563655691,0.16185695440371178,0.011259625276620446,Leverage,"Negotiate - tender, consolidate volume"
Measuring And Observing And Testing Instruments,4005357.94,124,560,32301.273709677418,30.958531511418432,0.10087363128399955,0.15513849093079593,0.0,Leverage,"Negotiate - tender, consolidate volume"
Electrical Equipment And Components And Supplies,3998870.08,104,525,38450.67384615385,26.007346555254927,0.23306197784750238,0.15488719833102138,0.07540080444301261,Leverage,"Negotiate - tender, consolidate volume"
Concrete And Cement And Plaster,3963299.02,38,83,104297.34263157895,9.587971992080476,0.43537932446994626,0.15350943368379766,0.20536512318777106,Strategic,"Partner - dual-source, joint planning"
Law Enforcement,3853831.1,16,511,240864.44375,4.151712824155682,0.8486892432831319,0.1492694411117148,0.47296772862190883,Strategic,"Partner - dual-source, joint planning"
Marine Transport,3820966.21,12,28,318413.85083333333,3.1405668986536264,0.9012002935247104,0.1479964938456818,0.5234689490437139,Strategic,"Partner - dual-source, joint planning"
Laboratory And Scientific Equipment,3750021.55,55,176,68182.20999999999,14.666582382706576,0.5368910399994902,0.1452486127182342,0.2537900434393122,Strategic,"Partner - dual-source, joint planning"
Office Machines And Their Supplies And Accessories,3615067.16,92,1044,39294.208260869564,25.449043109893427,0.2854587243684845,0.14002145930954632,0.10593806614620306,Leverage,"Negotiate - tender, consolidate volume"
Bedclothes And Table And Kitchen Linen And Towels,3611389.88,26,251,138899.61076923076,7.199444220627877,0.6921853699163604,0.13987902817643014,0.3611309533018492,Strategic,"Partner - dual-source, joint planning"
Institutional Food Services Equipment,3468902.2,58,306,59808.65862068966,16.71998708986376,0.11493758169371279,0.13436008979874545,0.01718173474740943,Leverage,"Negotiate - tender, consolidate volume"
Doors And Windows And Glass,3449509.21,38,115,90776.55815789473,11.016059875949715,0.544290432551128,0.13360894614359536,0.2661897692485999,Strategic,"Partner - dual-source, joint planning"
Welding And Soldering And Brazing Machinery And Accessories And Supplies,3289585.53,28,63,117485.1975,8.511710592306747,0.6320328141764413,0.1274146636971932,0.32474468063784495,Strategic,"Partner - dual-source, joint planning"
Public Order And Safety,3274835.71,6,10,545805.9516666667,1.8321529784466652,0.8307806073117481,0.12684336274217772,0.568840435193282,Strategic,"Partner - dual-source, joint planning"
Structural Components And Basic Shapes,3198084.83,42,114,76144.87690476191,13.132859893525714,0.22962941855422894,0.1238705908003995,0.08791061963246513,Leverage,"Negotiate - tender, consolidate volume"
Plumbing Fixtures,3196471.13,48,143,66593.14854166667,15.016559839850641,0.5267554191862824,0.12380808777655862,0.2508244872879323,Strategic,"Partner - dual-source, joint planning"
Frozen Vegetables,3161750.76,6,167,526958.46,1.8976827888862435,0.9377909218878467,0.12246327268461234,0.6286035266136492,Strategic,"Partner - dual-source, joint planning"
Patient Care And Treatment Products And Supplies,2994921.89,53,708,56507.960188679244,17.696621797371815,0.43301695257234235,0.11600153330371449,0.1964758252953796,Strategic,"Partner - dual-source, joint planning"
