category_id,segment,category,commodity
0,Food Beverage And Tobacco Products,Fresh Fruits,Navel Oranges
1,Unclassified,Unclassified,Unclassified
2,Tools And General Machinery,Hand Tools,Engravers
3,Food Beverage And Tobacco Products,Fresh Fruits,Akane Apples
4,Food Beverage And Tobacco Products,Fresh Fruits,Red Delicious Apples
5,Furniture And Furnishings,Accommodation Furniture,Bed Headboard Or Footboard
6,Paper Materials And Products,Paper Products,Writing Paper
7,Furniture And Furnishings,Accommodation Furniture,Furniture Set
8,Furniture And Furnishings,Accommodation Furniture,Chairs
9,Published Products,Printed Media,Newspapers
10,Manufacturing Components And Supplies,Hardware,Bearing Holders Or Retainers
11,Building And Construction Machinery And Accessories,Heavy Construction Machinery And Equipment,Backhoe Boom Or Boom Sections
12,Food Beverage And Tobacco Products,Bread And Bakery Products,Fresh Bread
13,Manufacturing Components And Supplies,Adhesives And Sealants,Duct Tape
14,Apparel And Luggage And Personal Care Products,Personal Care Products,Hand Sanitizer
15,Apparel And Luggage And Personal Care Products,Footwear,Mens Shoes
16,Transportation And Storage And Mail Services,Passenger Transport,Vehicle Leasing Of Passenger Vans Or Minivans
17,Drugs And Pharmaceutical Products,Anti Infective Drugs,Vancomycin
18,Paper Materials And Products,Paper Products,Stationery
19,Food Beverage And Tobacco Products,Fresh Fruits,Gala Apples
20,Food Beverage And Tobacco Products,Fresh Vegetables,Bottle Gourd
21,Office Equipment And Accessories And Supplies,Office Supplies,Markers
22,Food Beverage And Tobacco Products,Beverages,Fresh Juice
23,Manufacturing Components And Supplies,Hardware,Sems Bolt
24,Published Products,Printed Media,Educational Or Vocational Textbooks
25,Food Beverage And Tobacco Products,Fresh Vegetables,Green Beans
26,Food Beverage And Tobacco Products,Cereal And Pulse Products,Health Or Breakfast Bars
27,Manufacturing Components And Supplies,Adhesives And Sealants,Double Sided Tape
28,Food Beverage And Tobacco Products,Beverages,Orange Juice
29,Published Products,Printed Media,Reference Books
30,Food Beverage And Tobacco Products,Dried Fruit,Dried Amber Jewel Plums
31,Food Beverage And Tobacco Products,Seafood,Frozen Fish
32,Food Beverage And Tobacco Products,Dried Vegetables,Dried Pinto Beans
33,Manufacturing Components And Supplies,Hardware,Set Screws
34,Food Beverage And Tobacco Products,Fresh Vegetables,Black Plum Tomatoes
35,Mineral And Textile And Inedible Plant And Animal Materials,Earth And Stone,Silica Sand
36,Published Products,Signage And Accessories,Multipurpose Labels
37,Food Beverage And Tobacco Products,Fresh Fruits,Braeburn Apples
38,Tools And General Machinery,Hand Tools,Power Nail Guns
39,Food Beverage And Tobacco Products,Fresh Vegetables,Sugar Buns Corn
40,Chemicals Including Bio Chemicals And Gas Materials,Elements And Gases,Oxygen O
41,Food Beverage And Tobacco Products,Beverages,Coffee
42,Apparel And Luggage And Personal Care Products,Footwear,Mens Sandals
43,Paper Materials And Products,Paper Products,Business Forms Or Questionnaires
44,Apparel And Luggage And Personal Care Products,Clothing,Adult Diapers
45,Furniture And Furnishings,Accommodation Furniture,Arm Chair
46,Manufacturing Components And Supplies,Hardware,Anchor Bolts
47,Furniture And Furnishings,Accommodation Furniture,Tables
