supplier_id,supplier,spend,lines,small_business,dvbe
0,1 fire protection,19900.0,3,True,False
1,2 90 sign systems,7621.400000000001,13,False,False
2,3b industries,44365845.35,1165,False,True
3,3m,136072.73,1,False,False
4,3qc,3045521.0,3,True,False
5,3t equipment,22377.52,1,True,False
6,3way consulting,270840.0,1,True,False
7,4d,150000.0,2,False,False
8,5 cities supply,626694.17,84,True,False
9,5k,8160.0,2,True,False
10,aaa electrical supply,2196.6,1,True,False
11,aaa wholesale,1340970.55,278,True,False
12,aaa wholesale tool supply,37552.200000000004,8,True,True
13,abate weed,14314.96,4,True,False
14,abbott diabetes care sales,40681.92,5,False,False
15,abc fire extinguisher,13923.670000000002,3,False,False
16,abc office systems,4999.99,1,True,False
17,abc press,49995.16,1,False,False
18,abc ventures,6379917.35,363,True,False
19,abejanitorial supply,9000.0,1,True,False
20,able ribbon technology,53846.45,38,True,False
21,ablegov,2303271.57,112,True,False
22,abm building energy solutions,69480.0,1,False,False
23,ac3,50000.0,1,True,False
24,accela,89572.0,6,False,False
25,access custom garage doors,25121.26,1,False,False
26,access electric supply,62109.83,36,True,False
27,access systems,6598.0,1,False,False
28,acco engineered systems,48057.0,5,False,False
29,accredo health group,27398.0,3,False,False
30,accu chart plus health care systems,3144.86,1,False,False
31,accugov,304706.54,112,True,False
32,accurate measurement systems,32947.0,7,True,False
33,accuvant,84515.16,1,False,False
34,ace karaoke,299.0,1,False,False
35,ace uniforms,427006.01,7,True,False
36,acme glass,10686.4,1,True,False
37,acroprint time recorder,98.5,2,False,False
38,action computer toner supply,9430.7,3,False,False
39,action rubber stamps,3453.58,9,True,False
40,actors gang,20504.0,1,False,False
41,adams electronics,5500.48,1,False,False
42,adams heating cooling,4650.0,1,False,False
43,adolph,5850211.62,676,True,False
44,advanced distribution,40536.44,24,False,False
45,advanced dvbe solutions,32237.72,2,True,True
46,advanced fuel services,92469.0,1,True,False
47,advanced technical solutions,134985.31,26,True,False
48,advanced technologies consultants,1589893.63,20,False,False
49,advanced technologies group,585160.56,8,False,False
50,advanced technology solutions,117191.17,6,False,False
51,advantage imaging supply,20812.2,3,True,False
52,advantage west government product solutions,15622.0,3,True,False
53,aecom,12000000.0,1,False,False
54,aecom technical services,12292341.0,4,False,False
55,aeg ontario arena,26000.0,1,False,False
56,aegis its,62016.0,1,False,False
57,afeco dba fire etc,97039.0,5,False,False
58,agathos laboratories,47622.0,1,True,False
59,ahern rentals,1400000.0,1,False,False
60,aic electric,11882.0,1,False,False
61,air exchange,10702.0,1,True,False
62,air filter supply,215934.93999999997,15,True,False
63,air management industries,282050.0,2,True,False
64,air management systems,189610.0,1,True,False
65,airco systems,2451473.0,9,True,False
66,aircon energy,10000000.0,1,False,False
67,airgas carbonic,5447.5,1,False,False
68,airgas northern ca nv,251.6,1,False,False
69,airgas usa,521855.49,72,False,False
70,airgas west,5525.0,1,False,False
71,alameda electrical distributors,6037.2,1,False,False
72,alco target,46315.840000000004,6,True,False
73,alden research laboratory,750000.0,1,False,False
74,alexander antipov dds,128825.0,1,False,False
75,all america medical products,9721.240000000002,3,False,False
76,all american rentals,1735552.0,6,True,False
77,all business machines,441488.20999999996,155,False,True
78,all cal equipment service,40000.0,1,False,False
79,all central shred,4000.0,1,True,False
80,all gen electric service,1526131.38,75,False,False
81,all industrial electric supply,68976.70999999999,76,True,False
82,all phase electric ced,4880.52,5,False,False
83,all phase electric supply,3310.78,1,False,False
84,all safe engravers,7685.0,1,True,False
85,all state si,20000.0,1,True,False
86,all terrain water,6033479.0,27,True,True
87,all valley environmental,383628.0,2,True,False
88,allen packaging,242757.0,1,False,False
89,alliant insurance services,39193.86,3,False,False
90,allied 100,9747.33,1,False,False
91,allied building products,19802.75,2,False,False
92,allied concrete pumping,662147.0,2,False,False
93,allied crane,3000000.0,1,True,False
94,allied veteran logistical services,59785.0,1,True,True
95,allied waste services north america dba republic services sacramento,154678.0,1,False,False
96,allworld language consultants,11025.0,2,False,False
97,alpha fire sprinkler,197423.0,7,True,False
98,alpha wholesale produce,552455.42,27,True,False
99,alpine controls,163670.0,2,True,False
100,aluma tower,296276.0,1,False,False
101,am conservation group,6750.0,1,False,False
102,am copiers,7789.99,3,True,False
103,amber chemical,37600.0,1,False,False
104,amec earth environmental,1318761.0,1,False,False
105,amec environmental infrastructure,382128.0,6,False,False
106,american alarm,139724.0,2,True,False
107,american association bioanalysts,150.0,1,False,False
108,american association textile chemists colorists,9535.5,1,False,False
109,american blinds draperies,4700.55,1,True,False
110,american carports,9306.0,1,False,False
111,american chiller service,849123.29,6,True,False
112,american commodities awob,184737.18,41,True,False
113,american cooling tower,72400.0,1,False,False
114,american correctional association,692.0,1,False,False
115,american correctional solutions,5486.8,1,True,False
116,american crane rental,349020.0,1,True,False
117,american disabled veterans distributors,9006.0,1,False,False
118,american eagle computer products,23950.03,5,False,False
119,american electric supply,85557.75,8,False,False
120,american innovations,136031.95,9,False,False
121,american machines,85750.0,1,False,False
122,american medical depot,3142.7200000000003,3,False,False
123,american medical service,101756.78,22,True,False
124,american messaging service,40062.9,22,False,False
125,american metals,7260.8,1,False,False
126,american office products,16116.94,1,True,False
127,american proficiency institute,210.0,1,False,False
128,american refuse,1033344.0,3,True,False
129,american safety emt,24000.0,1,False,False
130,american textile supply,161674.75,9,True,False
131,american textile systems,5362630.26,250,True,False
132,amerigas,91800.0,1,False,False
133,ameriguard maintenance services,798738.0,1,True,False
134,ameritech business systems,2000.0,1,True,False
135,amirix systems,181587.24,3,False,False
136,ammmm,18218.75,5,True,False
137,ammons scientific,12380.0,4,False,False
138,anchor supply,251409.88999999998,52,True,True
139,anderson pacific engineering construction,6094000.0,1,False,False
140,anderson pump,18380.12,1,False,False
141,andrada associates,191900.0,3,True,False
142,angelo kilday kilduff,134760.0,2,False,False
143,angus hamer,699347.5,2,False,False
144,angus hamer networking,521327.51,7,True,True
145,antelope valley east kern water age,9000.0,1,False,False
146,apex,122590.0,1,False,False
147,apollo printing graphics,497.0,3,True,False
148,appliance sales service,6270.0,1,True,False
149,applied network security,10018.0,1,False,False
150,apsi construction management,183958.0,1,True,False
151,aqua sierra controls,336503.22000000003,5,True,False
152,aquatic science center,327546.0,2,False,False
153,ardor health solutions,469000.0,1,False,False
154,area restroom solutions,268115.0,1,True,False
155,argus media,5850.0,1,False,False
156,arise hospitality solutions,5135.92,1,True,False
157,arizona continental flooring,81858.31,1,False,False
158,arjohuntleigh,20000.0,1,False,False
159,arlene mickley dba educ strategies,24134.76,1,False,False
160,armstrong medical industries,715.0,1,False,False
161,arrow restaurant equipment,13744.5,2,False,False
162,arrow vending,660600.28,18,False,False
163,arrowhead forensics,3306.45,2,False,False
164,arroyo grande glass mirror,15002.0,2,False,False
165,articulate global,6291.0,1,False,False
166,asap industrial supply,18305.0,1,False,False
167,ascent environmental,187841.0,10,True,False
