supplier_id,category_id,department,date,type,sourcing,acquisition_method,qty,unit_price,total
924,0,Correctional Health Care Services,2014-07-07,Goods,Non-competitive or exempt,Fair and Reasonable,1.0,912.0,912.0
1500,1,"Corrections and Rehabilitation, Department of",2013-12-16,Goods,Non-competitive or exempt,Fair and Reasonable,10.0,69.56,695.6
220,2,Correctional Health Care Services,2015-06-01,Goods,Competitive / leveraged,Informal Competitive,1.0,71.94,71.94
924,3,"Corrections and Rehabilitation, Department of",2014-08-28,Goods,Non-competitive or exempt,Fair and Reasonable,7401.8,1.0,7401.8
1444,4,"Corrections and Rehabilitation, Department of",2015-06-09,Goods,Competitive / leveraged,Formal Competitive,168.0,24.09,4047.12
1206,5,Correctional Health Care Services,2014-07-10,Goods,Competitive / leveraged,Statewide Contract,1.0,460.95,460.95
2098,6,Correctional Health Care Services,2014-08-19,Goods,Non-competitive or exempt,Fair and Reasonable,7.0,57.25,400.75
1765,7,"Corrections and Rehabilitation, Department of",2014-08-01,Goods,Competitive / leveraged,Informal Competitive,4.0,478.0,1912.0
577,1,"Corrections and Rehabilitation, Department of",2014-08-29,Goods,Competitive / leveraged,SB/DVBE Option,1.0,6687.32,6687.32
2,8,Correctional Health Care Services,2014-09-18,Goods,Non-competitive or exempt,State Programs,1.0,380.0,380.0
1469,8,"Corrections and Rehabilitation, Department of",2014-09-15,Goods,Non-competitive or exempt,State Programs,1.0,6048.0,6048.0
565,9,"Corrections and Rehabilitation, Department of",2014-11-04,Goods,Non-competitive or exempt,Services are specifically exempt by policy,7.0,765.0,5355.0
43,1,"Corrections and Rehabilitation, Department of",2014-09-05,Goods,Competitive / leveraged,Statewide Contract,1.0,7102.5,7102.5
43,1,"Corrections and Rehabilitation, Department of",2013-12-12,Goods,Competitive / leveraged,Statewide Contract,1536.0,1.13,1735.68
1500,8,Correctional Health Care Services,2014-10-01,Goods,Non-competitive or exempt,State Programs,5.0,377.0,1885.0
434,10,"Corrections and Rehabilitation, Department of",2014-11-14,Goods,Competitive / leveraged,Informal Competitive,3.0,4.3,12.9
880,1,"Corrections and Rehabilitation, Department of",2014-11-24,Goods,Competitive / leveraged,WSCA/Coop,1.0,4641.0,4641.0
1840,11,"Water Resources, Department of",2014-11-18,Goods,Competitive / leveraged,Informal Competitive,1.0,5716.0,5716.0
1469,12,"Corrections and Rehabilitation, Department of",2015-07-01,Goods,Non-competitive or exempt,LCB,155517.7,1.0,155517.7
44,13,"Water Resources, Department of",2015-01-27,Goods,Competitive / leveraged,Informal Competitive,240.0,15.88,3811.2
